.\down_1000.csv,0.084034854,,ControlPCÅ®3Dsimulator,Error,3DsimulatorÅ®ControlPC,Error
.\down_1200.csv,0.123785083,,0,0.114806151,0,0.114806151
.\down_1400.csv,0.137819259,,200,0.110267099,200,0.108192302
.\down_1600.csv,0.130728747,,400,0.107320373,400,0.106877778
.\down_1800.csv,0.200147344,,600,0.113580183,600,0.113256996
.\down_200.csv,0.110267099,,800,0.075211964,800,0.074912288
.\down_2000.csv,0.198369289,,1000,0.084034854,1000,0.089682781
.\down_2200.csv,0.228220203,,1200,0.123785083,1200,0.130282504
.\down_2400.csv,0.074020729,,1400,0.137819259,1400,0.142111204
.\down_2600.csv,0.078232926,,1600,0.130728747,1600,0.138796494
.\down_2800.csv,0.08058063,,1800,0.200147344,1800,0.200290698
.\down_3000.csv,0.086016052,,2000,0.198369289,2000,0.262525308
.\down_400.csv,0.107320373,,2200,0.228220203,2200,0.144325495
.\down_600.csv,0.113580183,,2400,0.074020729,2400,0.070460899
.\down_800.csv,0.075211964,,2600,0.078232926,2600,0.073651529
.\up_0.csv,0.114806151,,2800,0.08058063,2800,0.080322234
.\up_1000.csv,0.089682781,,3000,0.086016052,3000,0.08750109
.\up_1200.csv,0.130282504,,,,,
.\up_1400.csv,0.142111204,,,,,
.\up_1600.csv,0.138796494,,,,,
.\up_1800.csv,0.200290698,,,,,
.\up_200.csv,0.108192302,,,,,
.\up_2000.csv,0.262525308,,,,,
.\up_2200.csv,0.144325495,,,,,
.\up_2400.csv,0.070460899,,,,,
.\up_2600.csv,0.073651529,,,,,
.\up_2800.csv,0.080322234,,,,,
.\up_3000.csv,0.08750109,,,,,
.\up_400.csv,0.106877778,,,,,
.\up_600.csv,0.113256996,,,,,
.\up_800.csv,0.074912288,,,,,
